start,end,today,username,subscriberid,deviceid,phonenumber,_0_Reviewer,paper_title,publication_year,paper_doi,publication_type,author_affiliation_type,country_studied,country_studied_multiple,country_studied_other,author_in_country_studied,disease,objectives,other_objective,individual_representation,individual_representation_othe,space_representation,model_structure,model_structure_unclear_reason,parametrization,validation,validation_other,outbreak_type,intervention_modelled,intervention_modelled_other,vax_modelled_with_non_vax,is_vax_effective,modelling_timing,outcome_measured,outcome_measured_other,sensitivity_analysis,data_used,data_available,simulation_code_available,__version__,_version_,meta/audit,meta/instanceID,_uuid,_submission_time,_tags,_notes,_validation_status
2021-01-08T01:45:27.716+02:00,2021-01-08T02:11:23.957+02:00,2021-01-08,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,Simple models for containment of a pandemic,2006,https://doi.org/10.1098/rsif.2006.0112,original_research,academic_institutions,none,n/a,n/a,NA,Influenza,assess_impact_future,n/a,compartments,n/a,no,deterministic,n/a,values_from_literature,model_not_validated,n/a,hypothetical_outbreak,antiviral_prophylaxis vaccination,n/a,no,n/a,prospective,final_epidemic_size,n/a,no,no,n/a,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:720e8d23-7cda-4bd4-af7b-abf331b527f4,720e8d23-7cda-4bd4-af7b-abf331b527f4,2021-01-08T00:11:35,,,{}
2021-01-08T00:34:32.820+02:00,2021-01-08T01:45:27.604+02:00,2021-01-08,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,Measuring the impact of Ebola control measures in Sierra Leone,2015,https://doi.org/10.1073/pnas.1508814112,original_research,academic_institutions,SL,n/a,n/a,no,Ebola,assess_impact_past,n/a,compartments,n/a,yes,stochastic,n/a,values_from_literature values_fitted_to_ts,compared_with_data,n/a,real_outbreak,beds,n/a,no,n/a,retrospective,cases_averted,n/a,yes,yes,yes,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:778022ba-9e12-4afa-92eb-c446a95d2e55,778022ba-9e12-4afa-92eb-c446a95d2e55,2021-01-07T23:45:32,,,{}
2021-01-08T00:01:34.341+02:00,2021-01-08T00:34:32.738+02:00,2021-01-08,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,"Incidence dynamics and investigation of key interventions in a dengue outbreak in Ningbo City, China",2019,https://doi.org/10.1371/journal.pntd.0007659,original_research,academic_institutions government_institutions,CN,n/a,n/a,yes,Dengue,assess_impact_past,n/a,compartments,n/a,no,deterministic,n/a,values_from_literature values_fitted_to_ts,compared_with_data,n/a,real_outbreak,isolation intervention_other,"Adult vector control, Larva Control",no,n/a,retrospective,attack_rate,n/a,yes,yes,no,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:ac8e7ab1-4e5b-429e-92c3-4dd9749c6cde,ac8e7ab1-4e5b-429e-92c3-4dd9749c6cde,2021-01-07T22:34:43,,,{}
2021-01-07T17:58:37.808+02:00,2021-01-08T00:01:34.258+02:00,2021-01-07,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,"Evaluation of the benefts and risks of introducing ebola community care centers, sierra leone",2015,10.3201/eid2103.141892,original_research,academic_institutions NGO,SL,n/a,n/a,no,Ebola,assess_impact_future,n/a,compartments,n/a,no,stochastic,n/a,values_from_literature values_from_guess_and_expert_opion values_fitted_to_ts,compared_with_data,n/a,hypothetical_outbreak,beds intervention_other,"Ebola Treatment Center, Community Care Center",no,n/a,prospective,final_epidemic_size,n/a,no,yes,no,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:0c5ca7f5-e2fe-40b9-ad5e-13ac01fb76e8,0c5ca7f5-e2fe-40b9-ad5e-13ac01fb76e8,2021-01-07T22:01:45,,,{}
2021-01-06T19:21:15.857+02:00,2021-01-06T20:14:29.600+02:00,2021-01-06,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,Assessing the role of voluntary self-isolation in the control of pandemic influenza using a household epidemic model,2015,https://doi.org/10.3390/ijerph120809750,original_research,academic_institutions,none,n/a,n/a,NA,Influenza,assess_impact_future,n/a,individuals_representation_other,Households,yes,deterministic,n/a,values_from_literature,model_not_validated,n/a,hypothetical_outbreak,antiviral_prophylaxis isolation,n/a,no,n/a,prospective,outcome_other,Household reproduction number,no,no,n/a,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:8a37ab75-7830-4e75-bc79-081bebf8bc50,8a37ab75-7830-4e75-bc79-081bebf8bc50,2021-01-06T18:14:42,,,{}
2021-01-06T16:45:40.072+02:00,2021-01-06T18:45:26.902+02:00,2021-01-06,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,A mathematical model of ebola virus disease: Using sensitivity analysis to determine effective intervention targets,2016,NA,conference_proceeding,academic_institutions,none,n/a,n/a,no,Ebola,assess_impact_future,n/a,compartments,n/a,no,deterministic,n/a,values_from_literature values_from_guess_and_expert_opion,model_not_validated,n/a,hypothetical_outbreak,isolation quarantine safe_burial,n/a,no,n/a,prospective,outcome_other,R0,yes,no,n/a,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:bb07faed-dd9f-4a3a-af65-bede2aa88822,bb07faed-dd9f-4a3a-af65-bede2aa88822,2021-01-06T16:45:39,,,{}
2021-01-06T21:26:29.018+02:00,2021-01-07T17:58:37.709+02:00,2021-01-06,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,Dynamic modelling of costs and health consequences of school closure during an influenza pandemic,2012,https://doi.org/10.1186/1471-2458-12-962,original_research,academic_institutions government_institutions,NO,n/a,n/a,yes,Influenza,assess_impact_future,n/a,compartments,n/a,no,deterministic,n/a,values_from_literature,model_not_validated,n/a,hypothetical_outbreak,school_closure,n/a,no,n/a,prospective,attack_rate qualys,n/a,yes,no,n/a,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:0fe7195f-4d03-4197-b04f-876fff753da9,0fe7195f-4d03-4197-b04f-876fff753da9,2021-01-07T15:58:49,,,{}
2020-10-19T17:15:17.954+01:00,2020-10-19T20:21:21.322+01:00,n/a,n/a,n/a,n/a,n/a,n/a,Mitigation strategies for pandemic influenza in the United States,2006,https://doi.org/10.1073/pnas.0601266103,original_research,academic_institutions,US,n/a,n/a,no,Influenza,assess_impact_future,n/a,agents,n/a,no,stochastic,n/a,values_from_guess_and_expert_opion,model_not_validated,n/a,hypothetical_outbreak,vaccination quarantine school_closure travel_restriction behavioural_change antiviral_prophylaxis,n/a,no,n/a,pseudo_real_time__the_study_was_conducte,outbreak_duration_and_timing final_epidemic_size,n/a,no,no,n/a,no,vqLaYbCRDo4qgABefa5wCU,n/a,n/a,uuid:c1612045-185e-45c5-8633-7d7b4cd5b96f,c1612045-185e-45c5-8633-7d7b4cd5b96f,2020-10-19T19:21:32,,,"{u'by_whom': u'jamesazam', u'timestamp': 1607008735, u'uid': u'validation_status_not_approved', u'color': u'#ff0000', u'label': u'Not Approved'}"
2021-02-15T23:31:06.227+02:00,2021-02-17T00:56:36.018+02:00,2021-02-15,username not found,subscriberid not found,ee.kobotoolbox.org:jd7cgAXomReoCwGa,phonenumber not found,james,A mathematical study of a TB model with treatment interruptions and two latent periods,2014,10.1155/2014/932186,original_research,academic_institutions,none,n/a,n/a,NA,Tuberculosis,assess_impact_future,n/a,compartments,n/a,no,deterministic,n/a,values_from_literature values_from_guess_and_expert_opion,model_not_validated,n/a,hypothetical_outbreak,treatment,n/a,no,n/a,prospective,outcome_other,Control reproduction number,no,no,n/a,no,v2BPxVDXNtGiFwDehkNMPB,v8yBjPWfsaq2csCF9ogyyX,n/a,uuid:0c0f5085-4e1e-4b92-b6d7-0c01d6c99a41,0c0f5085-4e1e-4b92-b6d7-0c01d6c99a41,2021-02-16T22:56:48,,,{}
2020-10-25T23:21:10.738+02:00,2020-10-26T00:15:56.921+02:00,n/a,n/a,n/a,n/a,n/a,n/a,Mitigation strategies for pandemic influenza in the United States,2006,www.pnas.orgcgidoi10.1073pnas.0601266103,original_research,academic_institutions government_institutions,US,n/a,n/a,yes,Influenza,assess_impact_future,n/a,agents,n/a,yes,stochastic,n/a,values_from_literature values_from_guess_and_expert_opion,model_not_validated,n/a,hypothetical_outbreak,vaccination contact_tracing school_closure travel_restriction behavioural_change treatment antiviral_prophylaxis,n/a,yes,yes,pseudo_real_time__the_study_was_conducte,cases_averted,n/a,yes,yes,yes,no,vqLaYbCRDo4qgABefa5wCU,n/a,n/a,uuid:1ff8e3ef-309e-4dba-aa56-a38f5b89aaab,1ff8e3ef-309e-4dba-aa56-a38f5b89aaab,2020-10-25T22:16:10,,,"{u'by_whom': u'jamesazam', u'timestamp': 1607008706, u'uid': u'validation_status_not_approved', u'color': u'#ff0000', u'label': u'Not Approved'}"
