"_0_Reviewer";"paper_title";"publication_year";"paper_doi";"publication_type";"author_affiliation_type";"country_studied";"country_studied_multiple";"country_studied_other";"author_in_country_studied";"disease";"objectives";"other_objective";"individual_representation";"individual_representation_othe";"space_representation";"model_structure";"model_structure_unclear_reason";"parametrization";"validation";"validation_other";"outbreak_type";"intervention_modelled";"intervention_modelled_other";"vax_modelled_with_non_vax";"is_vax_effective";"modelling_timing";"outcome_measured";"outcome_measured_other";"sensitivity_analysis";"data_used";"data_available";"simulation_code_available";"_index"
"james";"Simple models for containment of a pandemic";"2006";"https://doi.org/10.1098/rsif.2006.0112";"original_research";"academic_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"antiviral_prophylaxis vaccination";"";"no";"";"prospective";"final_epidemic_size";"";"no";"no";"";"no";"1"
"james";"Measuring the impact of Ebola control measures in Sierra Leone";"2015";"https://doi.org/10.1073/pnas.1508814112";"original_research";"academic_institutions";"SL";"";"";"no";"Ebola";"assess_impact_past";"";"compartments";"";"yes";"stochastic";"";"values_from_literature values_fitted_to_ts";"compared_with_data";"";"real_outbreak";"beds";"";"no";"";"retrospective";"cases_averted";"";"yes";"yes";"yes";"no";"2"
"james";"Incidence dynamics and investigation of key interventions in a dengue outbreak in Ningbo City, China";"2019";"https://doi.org/10.1371/journal.pntd.0007659";"original_research";"academic_institutions government_institutions";"CN";"";"";"yes";"Dengue";"assess_impact_past";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_fitted_to_ts";"compared_with_data";"";"real_outbreak";"isolation intervention_other";"Adult vector control, Larva Control";"no";"";"retrospective";"attack_rate";"";"yes";"yes";"no";"no";"3"
"james";"Evaluation of the benefts and risks of introducing ebola community care centers, sierra leone";"2015";"10.3201/eid2103.141892";"original_research";"academic_institutions NGO";"SL";"";"";"no";"Ebola";"assess_impact_future";"";"compartments";"";"no";"stochastic";"";"values_from_literature values_from_guess_and_expert_opion values_fitted_to_ts";"compared_with_data";"";"hypothetical_outbreak";"beds intervention_other";"Ebola Treatment Units, Community Care Centers";"no";"";"prospective";"final_epidemic_size";"";"no";"yes";"no";"no";"4"
"james";"Assessing the role of voluntary self-isolation in the control of pandemic influenza using a household epidemic model";"2015";"https://doi.org/10.3390/ijerph120809750";"original_research";"academic_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"individuals_representation_other";"Households";"yes";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"antiviral_prophylaxis isolation";"";"no";"";"prospective";"outcome_other";"Household reproduction number";"no";"no";"";"no";"5"
"james";"A mathematical model of ebola virus disease: Using sensitivity analysis to determine effective intervention targets";"2016";"https://doi.org/10.22360/summersim.2016.scsc.008";"conference_proceeding";"academic_institutions";"none";"";"";"no";"Ebola";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"isolation quarantine safe_burial";"";"no";"";"prospective";"outcome_other";"R0";"yes";"no";"";"no";"6"
"james";"Dynamic modelling of costs and health consequences of school closure during an influenza pandemic";"2012";"https://doi.org/10.1186/1471-2458-12-962";"original_research";"academic_institutions government_institutions";"NO";"";"";"yes";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature";"model_not_validated";"";"hypothetical_outbreak";"school_closure";"";"no";"";"prospective";"attack_rate qualys";"";"yes";"no";"";"no";"7"
"james";"A mathematical study of a TB model with treatment interruptions and two latent periods";"2014";"10.1155/2014/932186";"original_research";"academic_institutions";"none";"";"";"NA";"Tuberculosis";"assess_impact_future";"";"compartments";"";"no";"deterministic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"treatment";"";"no";"";"prospective";"outcome_other";"Control reproduction number";"no";"no";"";"no";"8"
"james";"Critical response to post-outbreak vaccination against foot-and-mouth disease";"2006";"10.1090/conm/410/07721";"book_chapter";"academic_institutions government_institutions";"UY";"";"";"no";"FMD";"assess_impact_future";"";"agents";"";"yes";"deterministic";"";"values_fitted_to_ts";"compared_with_data";"";"real_outbreak";"vaccination";"";"no";"";"retrospective";"final_epidemic_size";"";"no";"yes";"no";"no";"9"
"james";"Controlling an influenza outbreak in deterministic and stochastic models with the emergence and evolution of drug resistance (Model 1)";"2011";"https://doi.org/10.1109/iccsa.2011.66";"conference_proceeding";"academic_institutions";"none";"";"";"NA";"Influenza";"assess_impact_future";"";"compartments";"";"no";"deterministic stochastic";"";"values_from_literature values_from_guess_and_expert_opion";"model_not_validated";"";"hypothetical_outbreak";"antiviral_prophylaxis treatment";"";"no";"";"prospective";"attack_rate";"";"no";"no";"";"no";"10"
