key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
rayyan-52444945,"13th KES Conference on Agent and Multi-agent Systems: Technologies and Applications, KES-AMSTA 2019",2020,,,,21903018 (ISSN); 9789811386787 (ISBN),148,,,"Howlett, R. J. and Jain, L. C. and Sperka, R. and Jezic, G. and Kusek, M. and Chen-Burger, Y. H. J. and Jain, L. C. and Jain, L. C. and Jain, L. C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068345120&partnerID=40&md5=bbb9f69fcc0e485c91a43f97a1310f91     %[2019-01-15,English,Springer Science and Business Media Deutschland GmbH,,"The proceedings contain 31 papers. The special focus in this conference is on Agent and Multi-agent Systems: Technologies and Applications. The topics include: A Multi-agent System with Self-optimization for Automated Clustering (MASAC); web Literature, Authorship Attribution and Editorial Workflow Ontologies; multi-agent Complex System for Identification of Characteristics and Personality Types and Their Relationship in the Process of Motivation of Students; towards a Social Simulator Based on Agents for Management of the Knowledge Base for the Strengthening of Learning Competences; use of Intelligent Agent Through Low-Cost Brain–Computer Interface to Analyze Attention and Meditation Levels by Gender; System Development for Automatic Control Using BCI; medical Diagnostic Through a Mobile Application Controlled by Brain Waves: ConsultApp; a Hierarchical Agent Decision Support Model and Its Clinical Application; comparative Study of Bio-Inspired Algorithms Applied to Illumination Optimization in an Ambient Intelligent Environment; toward a Model of Management Processes to Support or Increase the Competitiveness of a University Professor; an Agent-Oriented Group Decision Architecture; an Agent-Based Infectious Disease Model of Rubella Outbreaks; analysis of the Effect of Financial Regulation on Market Collapse Process in Financial Network; causal Analysis of the Effect on Performance of Start-Ups from External Supporting Activities; analysis of Workstyle and Self-learning to Raise Human Capital; Study on Popularization of QR Code Settlement in Japan; Modeling a Multi-agent Self-organizing Architecture in MATSim; coupling Multi-agent and Macroscopic Simulators of Traffic; a Multi-agent System for Real-Time Ride Sharing in Congested Networks; dynamically Configurable Multi-agent Simulation for Crisis Management; context-Aware Service Orchestration in Smart Environments."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Report,not an outbreak,Topic out of scope",,
rayyan-52445078,Analytical threshold and stability results on age-structured epidemic models with vaccination,Jun,,,Theor Popul Biol,0040-5809 (Print)     0040-5809,33,3,266-90,"Greenhalgh, D.",,eng,,,"This paper examines mathematical models for common childhood diseases such as measles and rubella and in particular the use of such models to predict whether or not an epidemic pattern of regular recurrent disease incidence will occur. We use age-structured compartmental models which divide the population amongst whom the disease is spreading into classes and use partial differential equations to model the spread of the disease. This paper is particularly concerned with an analytical investigation of the effects of different types of vaccination schemes. We examine possible equilibria and determine the stability of small oscillations about these equilibria. The results are important in predicting the long-term overall level of incidence of disease, in designing immunisation programs and in describing the variations of the incidence of disease about this equilibrium level."," RAYYAN-INCLUSION: {""James""=>""Included""}",,
rayyan-52445251,Automated detection of infectious disease outbreaks: hierarchical time series models,Dec,30,,Stat Med,0277-6715 (Print)     0277-6715,25,24,4179-96,"Heisterkamp, S. H. and Dekkers, A. L. and Heijne, J. C.",,eng,,,"The purpose of infectious disease surveillance is to inform the public health policy makers on the incidence and trends of infectious diseases and to trigger appropriate actions to control infectious disease outbreaks. The enormous amount of data collected with automated laboratory-based surveillance systems require automated algorithms for detecting unexpected aberrations that may signal infectious disease outbreaks. In this paper, we explore the potential of hierarchical time series models to detect deviations from expected incidence. As these count data are extremely noisy it can be expected that these models are suitable to detect signal from noise and accommodate for possible autocorrelation. The proposed procedure consists of three steps; (1) the model parameters are estimated by empirical Bayes on a training period of, e.g. a year; (2) the expected values are updated for small time steps (e.g. daily) as new data arrive; (3) threshold levels are updated conditionally on the past expected values and an alarm is triggered when the threshold level is exceeded. To test the potential of the models we estimated sensitivity, specificity and timeliness on simulated time series and compared the results with an alternative approach of a linear regression model adjusted for trends and season. We also used two observed series for Rubella notifications and Salmonella infections and compared our findings with the expert opinions on these series. The hierarchical time series models approach shows high sensitivity and specificity and correctly identifies outbreaks at an early stage. This, in our opinion, makes the proposed model a reliable tool for adequate automated detection of infectious disease outbreaks."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Topic out of scope,Not an outbreak intervention",,
rayyan-52445315,Benefits and Challenges in Using Seroprevalence Data to Inform Models for Measles and Rubella Elimination,Aug,,,Journal of Infectious Diseases,0022-1899,218,3,355-364,"Winter, A. K. and Martinez, M. E. and Cutts, F. T. and Moss, W. J. and Ferrari, M. J. and McKee, A. and Lessler, J. and Hayford, K. and Wallinga, J. and Metcalf, C. J. E.",,,,,"Background. Control efforts for measles and rubella are intensifying globally. It becomes increasingly important to identify and reach remaining susceptible populations as elimination is approached. Methods. Serological surveys for measles and rubella can potentially measure susceptibility directly, but their use remains rare. In this study, using simulations, we outline key subtleties in interpretation associated with the dynamic context of age-specific immunity, highlighting how the patterns of immunity predicted from disease surveillance and vaccination coverage data may be misleading. Results. High-quality representative serosurveys could provide a more accurate assessment of immunity if challenges of conducting, analyzing, and interpreting them are overcome. We frame the core disease control and elimination questions that could be addressed by improved serological tools, discussing challenges and suggesting approaches to increase the feasibility and sustainability of the tool. Conclusions. Accounting for the dynamical context, serosurveys could play a key role in efforts to achieve and sustain elimination."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Not an outbreak intervention assessment",,
rayyan-52445329,Biological view of vaccination described by mathematical modellings: from rubella to dengue vaccines,2019,,,Mathematical Biosciences and Engineering,1547-1063,16,5,3195-3214,"Yang, H. M. and Freitas, A. R. R.",<Go to ISI>://WOS:000465437600001     %[2019-01-15,,,,"The only rubella vaccine available in North America is the RA27/3 strain (isolated from the kidney of a rubella-infected fetus and attenuated) licensed in 1979, which substituted HPV77/DE5 strain vaccine due to concerns about waning immunity. The first dengue vaccine (Dengvaxia CYD-TDV) was first registered in Mexico in December, 2015, which is a live recombinant tetravalent dengue vaccine. Rubella vaccine was applied since 1969, but tetravalent dengue vaccine is being used in large scale nowadays. In the past, based on unavailable information regarded to rubella vaccine, mathematical models were used to design vaccination schemes in order to avoid congenital rubella syndrome (CRS). Currently, knowing that vaccine does not result in CRS, rubella vaccination is modelled as usual childhood infection. This experience of updated biological knowledge that influenced mathematical modellings of rubella vaccination is taken into account to reflect about the tetravalent dengue vaccine. We also address a discussion about the security of vaccination strategies."," RAYYAN-INCLUSION: {""James""=>""Included""} | RAYYAN-LABELS: Resolved by J",,
rayyan-52445428,Characterizing the dynamics of rubella relative to measles: the role of stochasticity,Nov,6,,J R Soc Interface,1742-5662,10,88,20130643,"Rozhnova, G. and Metcalf, C. J. and Grenfell, B. T.",,eng,,,"Rubella is a completely immunizing and mild infection in children. Understanding its behaviour is of considerable public health importance because of congenital rubella syndrome, which results from infection with rubella during early pregnancy and may entail a variety of birth defects. The recurrent dynamics of rubella are relatively poorly resolved, and appear to show considerable diversity globally. Here, we investigate the behaviour of a stochastic seasonally forced susceptible-infected-recovered model to characterize the determinants of these dynamics and illustrate patterns by comparison with measles. We perform a systematic analysis of spectra of stochastic fluctuations around stable attractors of the corresponding deterministic model and compare them with spectra from full stochastic simulations in large populations. This approach allows us to quantify the effects of demographic stochasticity and to give a coherent picture of measles and rubella dynamics, explaining essential differences in the recurrent patterns exhibited by these diseases. We discuss the implications of our findings in the context of vaccination and changing birth rates as well as the persistence of these two childhood infections."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Title out of scope,Not an outbreak intervention assessment",,
rayyan-52445577,A computer simulation model of a rubella epidemic,Dec,,,Comput Biol Med,0010-4825 (Print)     0010-4825,4,2,189-98,"Horwitz, J. S. and Montgomery, D. C.",,eng,,,," RAYYAN-INCLUSION: {""James""=>""Included""}",,
rayyan-52445594,Constrained minimization problems for the reproduction number in meta-population models,Dec,,,Journal of Mathematical Biology,0303-6812,77,6,1795-1831,"Poghotanyan, G. and Feng, Z. L. and Glasser, J. W. and Hill, A. N.",<Go to ISI>://WOS:000451760500007     %[2019-01-15,,,,"The basic reproduction number can be considerably higher in an SIR model with heterogeneous mixing compared to that from a corresponding model with homogeneous mixing. For example, in the case of measles, mumps and rubella in San Diego, CA, Glasser et al. (Lancet Infect Dis 16(5):599-605, 2016. 10.1016/S1473-3099(16)00004-9), reported an increase of 70% in when heterogeneity was accounted for. Meta-population models with simple heterogeneous mixing functions, e.g., proportionate mixing, have been employed to identify optimal vaccination strategies using an approach based on the gradient of the effective reproduction number , which consists of partial derivatives of with respect to the proportions immune in sub-groups i (Feng et al. inJ Theor Biol 386:177-187,2015.10.1016/j.jtbi.2015.09.006; Math Biosci 287:93-104,2017.10.1016/j.mbs.2016.09.013). These papers consider cases in which an optimal vaccination strategy exists. However, in general, the optimal solution identified using the gradient may not be feasible for some parameter values (i.e., vaccination coverages outside the unit interval). In this paper, we derive the analytic conditions under which the optimal solution is feasible. Explicit expressions for the optimal solutions in the case of sub-populations. This is done for general mixing functions and examples of proportionate and preferential mixing are presented. Of special significance is the result that for general mixing schemes, both are bounded below and above by their corresponding expressions when mixing is proportionate and isolated, respectively."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-LABELS: Attention E,J keeping decision | RAYYAN-EXCLUSION-REASONS: Not an outbreak intervention assessment",,
rayyan-52445692,County-level assessment of United States kindergarten vaccination rates for measles mumps rubella (MMR) for the 2014-2015 school year,Nov,7,,Vaccine,0264-410x,35,47,6444-6450,"Kluberg, S. A. and McGinnis, D. P. and Hswen, Y. and Majumder, M. S. and Santillana, M. and Brownstein, J. S.",,eng,,,"United States kindergarten measles-mumps-rubella (MMR) vaccination rates are typically reported at the state level by the Centers for Disease Control and Prevention (CDC). The lack of local MMR data prevents identification of areas with low vaccination rates that would be vulnerable to the spread of disease. We collected county-level vaccination rates for the 2014-2015 school year with the objective of identifying these regions. We requested county-level kindergarten vaccination data from state health departments, and mapped these data to visualize geographic patterns in achievement of the 95% MMR vaccination target. We aggregated the county-level data to the state level for comparison against CDC state estimates. We also analyzed the relationship of MMR vaccination level with county-level and state-level poverty (using U.S. census data), using both a national mixed model with state as a random effect, and individual linear regression models by state. We received county vaccination data from 43 states. The median kindergarten MMR vaccination rate was 96.0% (IQR 89-98) across all counties, however, we estimated that 48.4% of the represented counties had vaccination rates below 95%. Our state estimates closely reflected CDC values. Nationally, every 10% increase in under-18 county poverty was associated with a 0.24% increase in MMR vaccination rates (95% CI: -0.07%; 0.54%), but the direction of this relationship varied by state. We found that county data can reveal vaccination trends that are unobservable from state-level data, but we also discovered that the current availability of county-level data is inadequate. Our findings can be used by state health departments to identify target areas for vaccination programs."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Not a model,Not an outbreak intervention",,
rayyan-52445702,Critical dynamics in population vaccinating behavior,2017,,,Proceedings of the National Academy of Sciences of the United States of America,00278424 (ISSN),114,52,13762-13767,"Pananos, A. D. and Bury, T. M. and Wang, C. and Schonfeld, J. and Mohanty, S. P. and Nyhan, B. and Salathé, M. and Bauch, C. T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039712384&doi=10.1073%2fpnas.1704093114&partnerID=40&md5=b0f6cff483e80a256bd2b47e2787e56e,English,,,"Vaccine refusal can lead to renewed outbreaks of previously eliminated diseases and even delay global eradication. Vaccinating decisions exemplify a complex, coupled system where vaccinating behavior and disease dynamics influence one another. Such systems often exhibit critical phenomena - special dynamics close to a tipping point leading to a new dynamical regime. For instance, critical slowing down (declining rate of recovery from small perturbations) may emerge as a tipping point is approached. Here, we collected and geocoded tweets about measles-mumps-rubella vaccine and classified their sentiment using machine-learning algorithms. We also extracted data on measles-related Google searches. We find critical slowing down in the data at the level of California and the United States in the years before and after the 2014-2015 Disneyland, California measles outbreak. Critical slowing down starts growing appreciably several years before the Disneyland outbreak as vaccine uptake declines and the population approaches the tipping point. However, due to the adaptive nature of coupled behavior-disease systems, the population responds to the outbreak by moving away from the tipping point, causing ""critical speeding up"" whereby resilience to perturbations increases. A mathematical model of measles transmission and vaccine sentiment predicts the same qualitative patterns in the neighborhood of a tipping point to greatly reduced vaccine uptake and large epidemics. These results support the hypothesis that population vaccinating behavior near the disease elimination threshold is a critical phenomenon. Developing new analytical tools to detect these patterns in digital social data might help us identify populations at heightened risk of widespread vaccine refusal."," RAYYAN-INCLUSION: {""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Not an outbreak intervention assessment",,
